course_name,course_bucket
Law and Legal Studies,humanities_misc
Plant Sciences,humanities_misc
New Media Art,humanities_misc
Teacher Education Multiple Levels,humanities_misc
Laser and Optical Engineering,humanities_misc
Architecture and Graphic and Information Design,humanities_misc
Education Administration and Supervision,humanities_misc
Molecular Biology,humanities_misc
Database Management,humanities_misc
Bioprocess Technology,humanities_misc
Physical Education Teaching and Coaching,humanities_misc
Medicinal and Pharmaceutical Chemistry,humanities_misc
Integrated Circuit Design,humanities_misc
Quantum Technologies,humanities_misc
Exercise Science,humanities_misc
Nanotechnology,humanities_misc
Sports Business and Management,humanities_misc
Sports Science,humanities_misc
Urban Development Planning,humanities_misc
Human Sciences,humanities_misc
Mechanical and Mechatronics Engineering,humanities_misc
Power Systems Engineering,humanities_misc
Clinical Psychology,humanities_misc
Modeling Virtual Environments and Simulation,humanities_misc
Mathematics and Computer Science,humanities_misc
Linguistics,humanities_misc
Criminal Justice,humanities_misc
Parasitology,humanities_misc
Manufacturing Engineering Technology,humanities_misc
Agricultural and Food Products Processing,humanities_misc
Toxicology,humanities_misc
Polymer and Plastics Engineering,humanities_misc
Political Science,humanities_misc
Marine and Coastal Sciences,humanities_misc
Radiography,humanities_misc
Digital Image Processing,humanities_misc
Health Management and Clinical Assistance,humanities_misc
Polymer Engineering,humanities_misc
Operations Project Management,humanities_misc
Educational Technology,humanities_misc
Business Communication,humanities_misc
Security Studies,humanities_misc
Animal Sciences,humanities_misc
Occupational Therapy,humanities_misc
Graphics Visualization and Computational Fabrication,humanities_misc
Knowledge Management,humanities_misc
Educational Instructional and Curriculum Supervision,humanities_misc
Rehabilitation Science,humanities_misc
History,humanities_misc
Business Computing,humanities_misc
Automotive Technology,humanities_misc
Journalism,humanities_misc
Professional Studies,humanities_misc
Sustainability Studies,humanities_misc
Technology Leadership and Management,humanities_misc
Molecular Genetics,humanities_misc
Fine and Studio Art,humanities_misc
Vision Science,humanities_misc
International Law,humanities_misc
Energy and Environmental Law,humanities_misc
Biochemistry Biophysics and Molecular Biology,humanities_misc
Communications Technologies,humanities_misc
Acoustics,humanities_misc
Metallurgical Engineering,humanities_misc
Chemical Education,humanities_misc
Digital Learning Education,humanities_misc
Ancient Studies,humanities_misc
Commerce,humanities_misc
School Counseling,humanities_misc
Developmental Psychology,humanities_misc
Speech Language Pathology and Audiology,humanities_misc
Furniture Design and Manufacturing,humanities_misc
Facilities Planning and Management,humanities_misc
Fashion Merchandising,humanities_misc
Geophysics and Seismology,humanities_misc
Creative Industries,humanities_misc
Executive Management Mba,humanities_misc
Construction Technology,humanities_misc
Dramatics,humanities_misc
Marriage and Family Therapy,humanities_misc
Social Sciences,humanities_misc
Innovation Engineering,humanities_misc
Science and Policy,humanities_misc
Energy Sources and Systems,humanities_misc
Architectural Technology,humanities_misc
Child Development,humanities_misc
Greenhouse Management,humanities_misc
Soil Science,humanities_misc
Air Transportation,humanities_misc
Anthropology,humanities_misc
Computer Science,cs_core
Cybersecurity,humanities_misc
Civil Engineering,humanities_misc
Business Analytics,humanities_misc
Statistics,data_ai
Analytics and Information Management,humanities_misc
Software Engineering,humanities_misc
Mental Health Counseling,humanities_misc
Electrical and Electronics Engineering,humanities_misc
Business Administration and Management,humanities_misc
Health Care,humanities_misc
Management Science,humanities_misc
Engineering Material,humanities_misc
Restaurant and Culinary Management,humanities_misc
Signal Geospatial Intelligence,humanities_misc
Automotive Engineering,humanities_misc
Information Studies,humanities_misc
Enterprise Risk Management,humanities_misc
Product Design and Development,humanities_misc
Aerospace and Mechanical Engineering,humanities_misc
Computer Graphics,humanities_misc
Intelligent Systems,humanities_misc
Systems Engineering,mechanical_industrial
Environmental Engineering,humanities_misc
Landscape Architecture,humanities_misc
Pharmacy,humanities_misc
Business Teacher Education,humanities_misc
Wind Energy,humanities_misc
Packaging Science,humanities_misc
Manufacturing Engineering,humanities_misc
Global Studies,humanities_misc
Mining and Mineral Engineering,humanities_misc
Library and Information Science,humanities_misc
Music,humanities_misc
Sustainable Energy,humanities_misc
Biological Biosystems Engineering,humanities_misc
Chemical Petroleum,humanities_misc
Engineering and Technology,humanities_misc
Agriculture General,humanities_misc
Atmospheric Chemistry and Climatology,humanities_misc
Astrophysics,humanities_misc
Computer Forensics,humanities_misc
International Business,humanities_misc
Health Communication,humanities_misc
Accounting and Finance,humanities_misc
Creative Arts and Practice,humanities_misc
Biological Science,humanities_misc
Nonprofit and Non Governmental Organizations,humanities_misc
Clinical Nurse Leader,humanities_misc
Optics,humanities_misc
Instructional Design,humanities_misc
Biosciences,humanities_misc
Innovation Leadership Engineering Entrepreneurship,humanities_misc
Games and Interactivity,humanities_misc
Biostatistics,humanities_misc
Biochemistry,humanities_misc
Computational Biology,humanities_misc
Applied Behavior Analysis,humanities_misc
Urban Planning and Public Administration,humanities_misc
Aviation Management,humanities_misc
Education of The Learning Disabled,humanities_misc
Clinical Research,humanities_misc
Digital Arts,humanities_misc
Organization Development,humanities_misc
International Marketing,humanities_misc
Sports and Fitness Administration,humanities_misc
Health and Physical Fitness,humanities_misc
Philosophy and Religious Studies General,humanities_misc
Agricultural Engineering,humanities_misc
Environmental Studies,humanities_misc
Dental Science,humanities_misc
Family Practice Nurse Practitioner,humanities_misc
Solar Energy Technology,humanities_misc
American Studies,humanities_misc
Games and Entertainment Design,humanities_misc
Religious Studies,humanities_misc
Ecology,humanities_misc
Actuarial Science,humanities_misc
Ocean Engineering,humanities_misc
Language Literature and Cultural Studies,humanities_misc
French,humanities_misc
Computer Science Mathematical Sciences,humanities_misc
Conducting,humanities_misc
Econometrics and Quantitative Economics,humanities_misc
Geotechnical and Geo Environmental Engineering,humanities_misc
Public Health Education,humanities_misc
Sociology,humanities_misc
Welding Engineering Technology,humanities_misc
Global Sustainable Development,humanities_misc
Microbiology,humanities_misc
Electrical Engineering Technology,humanities_misc
Accountancy,humanities_misc
Technology and International Affairs,humanities_misc
Land Use Planning,humanities_misc
International Studies,humanities_misc
Arts General,humanities_misc
Translational Research,humanities_misc
Exercise Physiology,humanities_misc
Counselor Education,humanities_misc
Counseling Psychology,humanities_misc
