program_id,n_total,n_admit,n_reject,admit_rate_smoothed
26c8e9daea1055a14fe98f64c56c9fadc193c32f,1,1,0,0.5238095238095238
7ebc6843111856addc822aea83782ca782e65798,1,1,0,0.5238095238095238
ae2e7001c34497faec1bbcfdb839e6045bf7e0a2,8,8,0,0.6428571428571429
22174ee505c27b1e684f72574556d8ad88a63dac,117,106,11,0.8467153284671532
3b1d8ccea306b1e15fa2d0de008e06f701f1bc3c,2,2,0,0.5454545454545454
390246a1779482b48a9ec1da38392a03c2debc54,7,6,1,0.5925925925925926
eb0ac389cc656520908f1e6befc82133599ab3ea,1,1,0,0.5238095238095238
2344fb6b041c1f6471033cd4f116c38bb57e0a55,46,38,8,0.7272727272727273
490f0e72f26f90cce76a7050dcb7414c1d445ae2,1,0,1,0.47619047619047616
c1e8961640ab2c5545313edf6dee9c310705a08a,2,1,1,0.5
cc4876ee24a533e450199fcc6e4533944d23bbcc,1,1,0,0.5238095238095238
a248d44ae50bfcb720cb9b24922b57a698b5f016,2,2,0,0.5454545454545454
b9f4a97def2b37b406004bc600c4f238ff47de7f,73,53,20,0.6774193548387096
d2a96aced362be17cd135367c4369c2a51b4bce8,2,0,2,0.45454545454545453
231c2f56f2d0ab9f075c98e94dafeb9052688d49,8,6,2,0.5714285714285714
678d732d53bba60a780cde0c70b38abb7798a85f,1,1,0,0.5238095238095238
ccf6f475113bc0c6edc684d9fb3a721043851932,1,1,0,0.5238095238095238
af3826f5fd1584f6e907042749377aeacb329ffe,1,1,0,0.5238095238095238
fe3b68bc4e74331926305f8f647da220a117bfe3,9,1,8,0.3793103448275862
e5fc83490955e1339628748ed919ae0b4fe7ab04,5,4,1,0.56
7c49d82b00f11b872fedd3abe93f6f755420c7c0,1,1,0,0.5238095238095238
fa4171bfa619210fd22e4e345c9a7d98f114a5ce,1,1,0,0.5238095238095238
34de28246af58ac1bf17a8bca018bd270c2da60d,1,1,0,0.5238095238095238
253f5a227438c4b0f69eeccb96baacc34240a287,56,47,9,0.75
a8b74e56895c0931f282443dd53ce8e2574e952c,2,1,1,0.5
21e7aaf7d302e72f4568b56c6435a14182bc64f3,2,1,1,0.5
048c979e2b4f36a787063d4e8551322e2d7f68a8,73,63,10,0.7849462365591398
82201ee959bf919497988fe7262fd16faf091e24,2,2,0,0.5454545454545454
b809687ed0282e4b4e14c166e339367c3e45c441,14,10,4,0.5882352941176471
def50fa9f3e8b0f94b1d66ce32996ea395bd892f,1,1,0,0.5238095238095238
e00fe4fdcc3e4cd12a1c1d452a810f4a8e1b8002,1,1,0,0.5238095238095238
94f388d82c0e6a3f7b7d31f3481589a16f98807f,1,1,0,0.5238095238095238
076d2d293b27fe2082a8fde2cabd5072e7ddeb0a,718,649,69,0.8929539295392954
0a241087bbfe0379378c336c49098b874db2c951,58,37,21,0.6025641025641025
bbb3209c84b90682181260210eac065ec8f3135c,4,3,1,0.5416666666666666
61005abb607dffb620e1e1992e0554c2e32c1fa1,1,1,0,0.5238095238095238
77e60c43f8681de2bfbf4655b95ba7263cf0c92b,1,1,0,0.5238095238095238
94eb487ab669cd1710ae4a9b79555db643d4addc,5,2,3,0.48
0150ff7def09b1629340b65f130fd3cfefec98a4,13,13,0,0.696969696969697
80b32fb7d5b0a0d6c443aa4ae860858807374790,1,0,1,0.47619047619047616
5a47a9a1662e2bc79c4b9ddca50f536a35fc7fc5,1,1,0,0.5238095238095238
9075e9ba4be92b01c8b62c7d7d1807685fdb2265,3,3,0,0.5652173913043478
df79ce2180ea2c047a9f4ffc2449e25d3225cc49,3,1,2,0.4782608695652174
29bb91abc6e1769f7caf2cecce13ff533320c29e,2,1,1,0.5
6a06ecb67c6d59f658ccf99e92dd8fddaecb1315,42,33,9,0.6935483870967742
055c2261e2a1ff09481fe903db92737967a594f0,2,2,0,0.5454545454545454
526961dfe8ba8aec24e2c93b960ab4dc763ef35d,2,2,0,0.5454545454545454
463106904b59296cec87b9ee678e251ef85dbe12,21,18,3,0.6829268292682927
8b0f8a37d8aa63f0441eb7ab9a6db13cb93f3f0b,24,16,8,0.5909090909090909
7e8687d6ab38db6b20a9eb36b7b69003000382cc,13,7,6,0.5151515151515151
b77b7617470814c372af8dbb9dcf801ad3efe853,21,13,8,0.5609756097560976
a190502658c1d26166aa85a16f9c418b2ba252da,136,90,46,0.6410256410256411
0479e9dc9c01b07c0ed9f7e39f8ab2f50ea25e41,669,478,191,0.7082728592162555
2a1c755f23795e5f2110f709ef6498b9a0db194a,7,6,1,0.5925925925925926
febba7f65d425a081c249dd9cfe03a277a5a7a63,1,0,1,0.47619047619047616
ee11686da3156758984336eb9fcf98df6994d83a,5,5,0,0.6
90b8a44ad0d9556a732401f1e90be7937100e8df,9,7,2,0.5862068965517241
3536455525af05e7bed23dcd329d81d503bc7f24,3,2,1,0.5217391304347826
01c623c0a19aab70ed662453af9ff229de413302,35,31,4,0.7454545454545455
915f82e36be3477603e48aebe42b9864089c8ec2,4,0,4,0.4166666666666667
9723723e48b6b1935cf933dc83a9815ffa620741,1,1,0,0.5238095238095238
42edfd27116e550d6bf8400e3453983e19f8d07b,12,8,4,0.5625
65f9ccd3dffac9b4cb3ad5d214911ac227d33263,1,1,0,0.5238095238095238
0c06a9d8b4f4ebae3d707d433fa88dd330af5cb1,4,4,0,0.5833333333333334
9a2a7b7f121cc5ff223fc782a7f2697f6e862e79,51,33,18,0.6056338028169014
cc1bb690035f5f869cdc4daec19fc49928b69f29,1,0,1,0.47619047619047616
2b320c99401bc56501e531d44c98657a2507c0eb,79,27,52,0.37373737373737376
680651002f28355eeef9ce6d63cda08fce9588d5,3,3,0,0.5652173913043478
3d134a6ce8af9245db52087dbba086e2ecc3479c,1,1,0,0.5238095238095238
9d123dd1908c0eecbd89aaa034c55d57aaadd797,1,1,0,0.5238095238095238
e2c5acbbdc1ea05f6e645a32592c2c61c3cd7738,10,4,6,0.4666666666666667
0c73cf71f52af2854bef4016c9ddf0d9f88127d0,18,13,5,0.6052631578947368
b5ca47947d1d1926e8d20fc1bf7bafc094a56e1d,1,0,1,0.47619047619047616
a0d4184334119b6d44a75a3239b8440298f4e35a,1,0,1,0.47619047619047616
2930849cb532f8e484f1731b1ab86293b0a4fe24,250,143,107,0.5666666666666667
a018cd5bfe52b7f0b96c82f53f37c69bb2ea3f68,349,227,122,0.6422764227642277
2065afc6afdb99cb758330feba9900e7534b8c2d,139,119,20,0.8113207547169812
